month,forecast
2025-01,83.810019
2025-02,79.255256
2025-03,93.804459
2025-04,95.779404
2025-05,106.739983
2025-06,127.346008
2025-07,145.173843
2025-08,143.949997
2025-09,130.491653
2025-10,107.856743
2025-11,97.840027
2025-12,96.258102
RMSE,5.911408
MAPE,4.082133
MAE,4.511567
R2,0.926946
