month,forecast
2025-01,54.87349
2025-02,46.951905
2025-03,54.847977
2025-04,53.143761
2025-05,53.230663
2025-06,57.348087
2025-07,67.548553
2025-08,72.681915
2025-09,59.522156
2025-10,55.661747
2025-11,56.504772
2025-12,63.280998
RMSE,3.092317
MAPE,3.992156
MAE,2.426152
R2,0.858339
