date,elec,indu,leap,bef,aft
2024/9/1,61.3,43.2,0,0,0
2024/10/1,51.1,40.3,0,0,0
2024/11/1,51.6,40.6,0,0,0
2024/12/1,59.4,44,0,0,0
2025/1/1,50.2,34.7,0,1,0.375
2025/2/1,46.9,32.7,-0.25,0,0.625
2025/3/1,55.8,43.2,0,0,0
2025/4/1,52.3,41.6,0,0,0
2025/5/1,53.9,41.9,0,0,0
2025/6/1,58.4,43.7,0,0,0
2025/7/1,72.8,48.7,0,0,0
2025/8/1,74.8,49.4,0,0,0
2025/9/1,65.7,47.2,0,0,0
2025/10/1,57.6,43.7,0,0,0
2025/11/1,54.6,42.7,0,0,0
2025/12/1,59.8,45.2,0,0,0
