month,forecast
2024-01,82.100365
2024-02,62.710126
2024-03,89.284492
2024-04,94.882362
2024-05,113.529488
2024-06,128.690506
2024-07,136.361328
2024-08,129.912445
2024-09,124.303627
2024-10,107.859779
2024-11,95.387276
2024-12,88.297897
RMSE,5.815615
MAPE,4.964574
MAE,5.194909
R2,0.923231
